,subject,Vvp_2015,Vvppp_2016,Vvppp_2017,Vvppp_2018,Vvppp_2019,Vvppp_2020
77,Адыгея,84306,"223469,4","241997,3",264198,"285729,4","309184,1"
61,Алтай,"42165,7","219520,8","222562,9","247496,8","259944,1","283451,4"
8,Алтайский край,"487903,3","224525,8","231268,4","247599,3","270172,3","291156,9"
38,Амурская область,"277380,4","370192,4","373935,1","419905,2","499757,1","571362,1"
25,Архангельская область,"627698,1",609484,"654268,9","753081,9","780455,4","697648,2"
27,Астраханская область,322303,609484,"654268,9","753081,9","780455,4","697648,2"
40,Башкортостан,"1316598,3","349351,5","366013,2","428715,6","445861,5",425161
11,Белгородская область,"693379,4","501467,8","539720,5","588641,5","617024,6",646569
50,Брянская область,"271782,5","258752,7","280630,1","304547,1","333612,6","347204,5"
30,Бурятия,"202823,4","224534,7","228171,1","262811,9","289954,4","307558,8"
9,Владимирская область,"368489,2","309713,7","325043,1","349856,4","393135,2","410443,6"
55,Волгоградская область,740458,"324961,1","336306,7","369000,4",385398,"394256,5"
29,Вологодская область,478893,"430041,5","459777,5","525206,6","543570,9","544379,2"
46,Воронежская область,"805969,6","354657,9","374125,7","408140,7","430689,9","459629,5"
67,Дагестан,"569297,3","203906,4","209477,8","219856,8","230345,5","239640,7"
44,Еврейская АО,"44554,8","294021,2","338826,6","339068,1","357287,3","400340,5"
34,Забайкальский край,"247666,2",258225,"284969,1","317815,5","347663,4","402594,6"
54,Ивановская область,"180517,5","200504,4",208522,"230325,5","254801,2","273821,5"
79,Ингушетия,50091,"121985,9","125667,9","136930,7","146928,7","142199,7"
13,Иркутская область,"1001717,6","472533,3","527025,3","608298,6","643245,8","631591,9"
31,Кабардино-Балкария,"120528,8",177182,"179417,9","186574,1","197795,1","210674,1"
65,Калининградская область,"349818,6","425021,5","450993,6","494096,4","517150,7","530036,9"
62,Калмыкия,"51958,5","249989,8","289676,6","314225,2","327288,9","344933,1"
32,Калужская область,"339760,8","404538,6","451025,5","502224,2","546488,9","558174,6"
81,Камчатский край,"175404,8","710448,2","724011,6","835029,8","889982,3",942802
84,Карачаево-Черкессия,"67482,7","168098,1","177468,1",184013,"196393,1","207471,5"
39,Карелия,"212049,5","394826,9","433433,9","485235,6","517887,9","522245,3"
17,Кемеровская область,"843345,4","332941,6","406335,3","471742,7","416418,6","392374,9"
59,Кировская область,282191,"242189,8","257681,1","276491,3","292342,6","315153,9"
57,Коми,"528403,4","677818,8","719599,3","833270,1","870097,8","749219,3"
51,Костромская область,"160579,8","261963,8","276404,4","299569,1","320813,9","323951,6"
2,Краснодарский край,"1933512,1","407239,7","433626,9","444364,1","455174,9","460720,2"
24,Красноярский край,"1667041,1","634610,4","687442,8",825925,"939382,4","951613,7"
14,Крым,"265970,6","189916,6","201251,2","228692,9","248677,1","270363,8"
66,Курганская область,"179436,3","235547,8","247093,2","256618,3","285011,5",294464
69,Курская область,"336999,4","337963,6","361694,6","405890,2","448533,4","487030,7"
